epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.47675,4.15259,3.73704,2.46126,0.00083,0.02564,9e-05,2e-05,4.1438,3.81838,1.81393,0.00035725,0.00035725,0.00035725
2,5.96748,4.06256,3.74557,2.5376,0.00083,0.02564,9e-05,2e-05,4.1438,3.81838,1.81393,0.000668534,0.000668534,0.000668534
3,8.14229,4.07607,3.73785,2.42136,0.00083,0.02564,9e-05,2e-05,4.1438,3.81838,1.81393,0.00079119,0.00079119,0.00079119
4,12.3804,4.04894,3.72367,2.48011,0.00083,0.02564,9e-05,2e-05,4.14537,3.81863,1.81397,0.000580174,0.000580174,0.000580174
5,14.525,4.13047,3.73446,2.43073,0.00083,0.02564,9e-05,2e-05,4.14537,3.81863,1.81397,0.000297232,0.000297232,0.000297232
